judul,isi,tanggal,link
Video Pria Menginjak Al-Qur’an di Klub Malam Arab Saudi				,"Lokasi kejadian bukan di Arab Saudi, tetapi Manchester (Inggris).","November 15, 2024",https://turnbackhoax.id/2024/11/15/salah-video-pria-menginjak-al-quran-di-klub-malam-arab-saudi/
Manggis di Luar Negeri Tumbuh Merambat Berbeda dengan di Indonesia				,"Periksa fakta Sukma Faktanya, pohon manggis bukanlah tanaman merambat. Buah manggis di video tersebut diduga ditempelkan pada tumbuhan lain  yang tumbuh secara merambat. ======= [KATEGORI]: Konten […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-manggis-di-luar-negeri-tumbuh-merambat-berbeda-dengan-di-indonesia/
KYAI IMAD KETURUNAN PKI				,"Hasil Periksa Fakta Gabriela Nauli Faktanya, tidak ada informasi yang dapat membenarkan klaim yang beredar ini. Beberapa hal di dalam unggahan akun Facebook ini pun […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-kyai-imad-keturunan-pki/
KPK Merampas Harta Jokowi				,Hasil periksa fakta Siti Lailatul Fitriyah Faktanya unggahan dengan klaim KPK merampas harta Jokowi adalah konten palsu. Tidak ditemukan bukti valid terkait hal tersebut. Selain […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-kpk-merampas-harta-jokowi/
"Korea Utara Melarang Kewarganegaraan Israel, Jepang, dan Amerika mengikuti Pariwisata musim dingin				","Hasil periksa fakta Dyah Febriyani Faktanya, Korea Utara membuka kembali Pariwisata Musim Dingin pada Desember 2024. Dilansir dari BBC.com, bahwa otoritas Korea Utara mengizinkan wisatawan […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-korea-utara-melarang-kewarganegaraan-israel-jepang-dan-amerika-mengikuti-pariwisata-musim-dingin/
"KENAIKAN TARIF PPN 12% MENAIKKAN TARIF AIR, LISTRIK, RUMAH DAN KREDIT PINJAMAN DANA				","Hasil Periksa Fakta Gabriela Nauli Faktanya, sesuai dengan ketentuan perundang-undangan, kenaikan tarif PPN 12% akan dibebaskan dari beberapa kategori kebutuhan masyarakat, beberapa diantaranya yaitu air […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-kenaikan-tarif-ppn-12-menaikkan-tarif-air-listrik-rumah-dan-kredit-pinjaman-dana/
"Kebumen Dihantam Gempa Skala Besar 22 September 2024, Semua Ambrol				","Periksa Fakta Sukma Faktanya, tidak terjadi gempa skala besar di Kebumen pada 22 September 2024 hingga mengakibatkan seluruh wilayahnya ambrol. ===== [KATEGORI]: Konten Palsu ===== […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-kebumen-dihantam-gempa-skala-besar-22-september-2024-semua-ambrol/
"Jokowi Pasrah, Satu Keluarga Masuk Penjara				",Hasil periksa fakta Siti Lailatul Fitriyah Faktanya tidak ada bukti yang valid yang menyatakan Presiden Jokowi sekeluarga masuk penjara. Unggahan hanya berisi potongan video yang […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-jokowi-pasrah-satu-keluarga-masuk-penjara/
Jokowi Pasrah Gibran Ditangkap KPK				,"Periksa Fakta Sukma Faktanya, narasi yang disampaikan di dalam video tersebut tidak sesuai dengan klaim yang dituliskan pada judul dan thumbnail video. Sehingga, informasi mengenai […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-jokowi-pasrah-gibran-ditangkap-kpk/
Jokowi Merupakan Dalang Korupsi Timah 300T				,Hasil periksa fakta Siti Lailatul Fitriyah Faktanya tidak ada bukti terkait hal tersebut. Dalam kasus korupsi tata niaga timah di wilayah Izin Usaha Pertambangan (IUP) […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-jokowi-merupakan-dalang-korupsi-timah-300t/
Jakarta Jebol! Banjir Besar Sapu Jabodetabek dan Bandung				,Hasil periksa fakta Raymondha Elsha Klaim mengenai banjir besar sapu Jabodetabek dan Bandung hingga Jakarta jebol adalah tidak benar. Faktanya banjir yang terjadi hanya mengakibatkan […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-jakarta-jebol-banjir-besar-sapu-jabodetabek-dan-bandung/
Istri Rudiana Menjadi Tersangka Baru Kasus Pembunuhan Vina Cirebon				,Hasil periksa fakta Siti Lailatul Fitriyah Faktanya judul dan isi video tidak berkaitan. Tidak ditemukan bukti kredibel terkait pembongkaran makam keterkaitan istri Iptu Rudiana dalam […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-istri-rudiana-menjadi-tersangka-baru-kasus-pembunuhan-vina-cirebon/
Indra Sjafri Dipecat dan Digantikan Dengan Park Hang Seo 				,"Periksa Fakta Vania. Faktanya, pada isi video hanya menyebutkan mengenai gagalnya Indra Sjafri Timnas Junior lolos ke babak selanjutnya pada laga Seoul Earth on Us Cup […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-indra-sjafri-dipecat-dan-digantikan-dengan-park-hang-seo/
"IMPOR BERAS DARI TAHUN 2022-2024, PRABOWO SEBUT INDONESIA SWASEMBADA BERAS				","Hasil Periksa Fakta Gabriela Nauli Faktanya, cuplikan video yang ditampilkan di dalam unggahan, merupakan pidato dari Prabowo Subianto pada Global Food Security Forum di Bali, […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-impor-beras-dari-tahun-2022-2024-prabowo-sebut-indonesia-swasembada-beras/
Ikan Hias Berkepala Kambing				,Hasil periksa fakta Panji Berdasarkan dua situs pendeteksi AI menyebutkan hasil jika video yang menampilkan ikan berkepala sapi tersebut adalah video yang dibuat dengan manipulasi […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-ikan-hias-berkepala-kambing/
Hindari Pasta Gigi Fluoride karena Sebabkan Penurunan IQ				,Hasil periksa fakta Agnes A Informasi yang menyesatkan. Kandungan fluoride dalam pasta gigi ada dalam dosis wajar dan tidak berbahaya. ===== [KATEGORI]: Konten yang Menyesatkan […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-hindari-pasta-gigi-fluoride-karena-sebabkan-penurunan-iq/
"Hewan “Sapi Laut” Terdampar di Bangkalan, Madura				",Hasil periksa fakta Panji Berdasarkan dua situs pendeteksi AI menyebutkan hasil jika video yang menampilkan hewan yang dinamai sapi laut tersebut adalah video yang dibuat […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-hewan-sapi-laut-terdampar-di-bangkalan-madura/
HASIL TANGKAPAN LAYAR ARTIKEL BERJUDUL “Ustadz Abdul Somad :Masuk Rumah Sakit (RS) Karena Penyakit Sipilis”				,"Hasil Periksa Fakta Gabriela Nauli Faktanya, tidak ada artikel dengan judul demikian yang diterbitkan oleh media Suara.com, seperti yang terlihat dalam gambar. Selengkapnya ada di […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-hasil-tangkapan-layar-artikel-berjudul-ustadz-abdul-somad-masuk-rumah-sakit-rs-karena-penyakit-sipilis/
"HASIL TANGKAPAN LAYAR ARTIKEL BERJUDUL, “Susu Ikan Ternyata Ada. Ditemuka Sosok Lele Tobrut Di Sungai Jawa Tenggara”				","Hasil Periksa Fakta Gabriela Nauli Faktanya, tidak ditemukan adanya artikel dengan judul demikian. Hasil tangkapan layar tersebut merupakan gambar yang telah diedit. Selengkapnya ada di […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-hasil-tangkapan-layar-artikel-berjudul-susu-ikan-ternyata-ada-ditemuka-sosok-lele-tobrut-di-sungai-jawa-tenggara/
Gudang Penyimpanan Uang Gibran Ditemukan Oleh KPK				,"Periksa Fakta Sukma Faktanya, narasi yang disampaikan di dalam video tersebut tidak sesuai dengan klaim yang dituliskan pada judul dan thumbnail video. Sehingga, informasi mengenai […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-gudang-penyimpanan-uang-gibran-ditemukan-oleh-kpk/
Gibran Resmi Ditangkap dengan Kasus KKN				,"Hasil periksa fakta Panji Thumbnail video merupakan hasil manipulasi sehingga membuat Gibran seolah sedang ditangkap dengan rompi orange, selain itu isi video juga tidak membuktikan […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-gibran-resmi-ditangkap-dengan-kasus-kkn/
Gibran Gagal Dilantik Karena Anies Bongkar Hal Ini ke Mulyono				,Hasil periksa fakta Siti Lailatul FitriyahFaktanya judul dan isi video tidak berkaitan. Tidak ditemukan bukti valid bahwa Gibran gagal dilantik karena Anies membongkar sesuatu. Selain […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-gibran-gagal-dilantik-karena-anies-bongkar-hal-ini-ke-mulyono/
Foto Jimat Penangkal Bahaya Milik Hassan Nasrallah				,Hasil periksa fakta Agnes A Informasi menyesatkan. Foto dalam cuitan adalah foto lama yang diunggah kembali dengan narasi yang tidak berkaitan. ===== [KATEGORI]: Konten yang […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-foto-jimat-penangkal-bahaya-milik-hassan-nasrallah/
FIFA Resmi Bekukan Federasi BFA Bahrain Efek Curangi Timnas Jepang				,"Periksa Fakta Sukma Faktanya, hingga saat ini tidak ditemukan pernyataan resmi yang dikeluarkan oleh FIFA terkait pembekuan federasi BFA Bahrain. =====[KATEGORI]: Konten Palsu =====[SUMBER]: Youtube […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-fifa-resmi-bekukan-federasi-bfa-bahrain-efek-curangi-timnas-jepang/
"FIFA dan AFC Resmi Sanksi Timnas Jepang, Indonesia Auto Lolos Piala Dunia				","Periksa Fakta Sukma Faktanya, hingga saat ini tidak ditemukan pernyataan resmi yang dikeluarkan oleh FIFA dan AFC terkait sanksi yang diberikan kepada Timnas Jepang. =====[KATEGORI]: […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-fifa-dan-afc-resmi-sanksi-timnas-jepang-indonesia-auto-lolos-piala-dunia/
Domino’s Pizza menyebut Islam bodoh dalam Struk				,"Hasil Periksa Fakta Luthfiyah Domino’s Pizza menyebut Islam bodoh dalam struktur merupakan Informasi yang tidak benar. Faktanya, pihak Domino’s Pizza tidak menuliskan kalimat tersebut dalam […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-dominos-pizza-menyebut-islam-bodoh-dalam-struk/
Diksi Merdeka: “Warga Bali : Ini Bali Bukan Jawa Jadi Mohon Volume TOA Brengsek Di Perkecil”				,Hasil periksa fakta Evarizma Zahra. Konten yang dimanipulasi. Media Diksi Merdeka tidak pernah menulis berita dengan judul tersebut dan tidak ada media yang menulis judul […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-diksi-merdeka-warga-bali-ini-bali-bukan-jawa-jadi-mohon-volume-toa-brengsek-di-perkecil/
Dialog dan Video “Hubungan Prabowo Gibran Pasca-polemik FufuFafa”				,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya video yang ditampilkan tersebut merupakan pertemuan Prabowo dan Gibran pada 8 Juni 2024, sedangkan polemik fufufafa pertama kali beredar […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-dialog-dan-video-hubungan-prabowo-gibran-pasca-polemik-fufufafa/
Coretan di Dinding Tanda Penjahat Mengincar Rumah				,"Artikel hasil periksa fakta Vinanda (Relawan Mafindo) Pesan berantai di Whatsapp yang merupakan Hoaks Lama Bersemi Kembali (HLBK). Faktanya, pada tahun 2015, isu tersebut sudah […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-coretan-di-dinding-tanda-penjahat-mengincar-rumah/
Bom Es Menghancurkan Ratusan Rumah di Kota Jombang 24 September 2024				,"Periksa Fakta Sukma Faktanya, hujan es yang terjadi di Jombang 24 September 2024 tidak mengakibatkan ratusan rumah hancur. ===== [KATEGORI]: Konten yang Menyesatkan ===== [SUMBER]: […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-bom-es-menghancurkan-ratusan-rumah-di-kota-jombang-24-september-2024/
"BEN WEASEL JADI MUALAF, PINDAH DARI BUDHA KE ISLAM				","Hasil Periksa Fakta Gabriela Nauli Faktanya, tidak ada informasi yang dapat membenarkan klaim yang terdapat di dalam unggahan Facebook tersebut. Sebaliknya, ditemukan informasi yang menyebutkan […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-ben-weasel-jadi-mualaf-pindah-dari-budha-ke-islam/
Banjir Bak Lautan Sapu Bandung dan Bogor				,"Hasil periksa fakta Raymondha Elsha Klaim yang mengatakan banjir bak lautan sapu Bandung dan Bogor adalah tidak benar. Faktanya, banjir yang terjadi hanya sebabkan puluhan […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-banjir-bak-lautan-sapu-bandung-dan-bogor/
Banjir 4 Meter Tenggelamkan Batam 25 September 2024				,"Periksa Fakta Sukma Faktanya, tidak terjadi banjir setinggi 4 meter di Batam pada 25 September 2024. =====[KATEGORI]: Konten yang Menyesatkan =====[SUMBER]: Youtube (https://ghostarchive.org/varchive/VHXvD0S-9IY)=====[NARASI]BATAM TENGGELAM PARAH! […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-banjir-4-meter-tenggelamkan-batam-25-september-2024/
Bambang Pamungkas Bongkar Skenario Busuk Hancurkan Timnas Indonesia				,"Hasil periksa fakta Moch. Marcellodiansyah Faktanya dalam video versi panjang dari Bambang Pamungkas (Bepe) dari video tersebut, tidak ada konteks Bepe membongkar skenario busuk untuk […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-bambang-pamungkas-bongkar-skenario-busuk-hancurkan-timnas-indonesia/
ARTIKEL LIPUTAN6.COM BERJUDUL “Benjamin Netanyahu Sebut: Negara Miskin Seperti Indonesia Hanya Bisa Demo”				,Judul telah disunting. Tidak ditemukan adanya artikel dari Liputan6.com dengan judul tersebut. KATEGORI: MANIPULATED CONTENT/ KONTEN YANG DIMANIPULASI === SUMBER: TIKTOKhttps://www.tiktok.com/@1q_223/photo/7417424056061791493 Arsip https://archive.fo/wip/cPLqH === NARASI: […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-artikel-liputan6-com-berjudul-benjamin-netanyahu-sebut-negara-miskin-seperti-indonesia-hanya-bisa-demo/
ARTIKEL CNBC INDONESIA BERJUDUL “Presiden China Sebut : Dunia Teknologi Di Kuasai Israel”				,Judul telah disunting. Tidak ditemukan adanya artikel dari CNBC Indonesia dengan judul tersebut. KATEGORI: MANIPULATED CONTENT/ KONTEN YANG DIMANIPULASI === SUMBER:https://www.tiktok.com/@1q_223/photo/7417492178047356166 Arsip https://archive.fo/hqcqd === NARASI: […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-artikel-cnbc-indonesia-berjudul-presiden-china-sebut-dunia-teknologi-di-kuasai-israel/
ARTIKEL CNBC INDONESIA BERJUDUL “Benjamin Netanyahu Sebut : Kami Lah Penguasa Dunia Sesungguh Nya”				,Judul telah disunting. Tidak ditemukan adanya artikel dari CNBC Indonesia dengan judul tersebut. KATEGORI: MANIPULATED CONTENT/ KONTEN YANG DIMANIPULASI === SUMBER: TIKTOKhttps://www.tiktok.com/@1q_223/photo/7418949008875572486 Arsip https://archive.fo/6APZ6 === […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-artikel-cnbc-indonesia-berjudul-benjamin-netanyahu-sebut-kami-lah-penguasa-dunia-sesungguh-nya/
Aksi Demonstrasi di Malioboro 23 September 2024				,"Periksa Fakta Vania. Faktanya, Aksi demo tersebut terjadi pada 22 Agustus 2024 dan bukan pada 23 September 2024. =====     KATEGORI: Konteks yang Salah =====     Sumber: Twitterhttps://archive.ph/Vlj1y =====     […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/salah-aksi-demonstrasi-di-malioboro-23-september-2024/
Willie Salim dan Vilmei Bagi-Bagi Hadiah di Facebook				,"Periksa Fakta Sukma Faktanya, akun tersebut bukanlah akun resmi milik Willie Salim maupun Vilmei. ===== [KATEGORI]: Konten Tiruan ===== [SUMBER]: Facebook (https://ghostarchive.org/archive/3Tyal) ===== [NARASI]𝙃𝙐𝘽𝙐𝙉𝙂𝙄 𝙉𝙊𝙈𝙊𝙍 […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-willie-salim-dan-vilmei-bagi-bagi-hadiah-di-facebook/
"Video Agus Salim Bucar Akan Transfer Uang bagi Pemilik Rekening Bank BRI, BNI, Mandiri, BCA, dan Bank Lainnya				",Hasil periksa fakta Moch. Marcellodiansyah Faktanya pada postingan asli yang diunggah oleh pengusaha kosmetik ternama asal Sulawesi Selatan tersebut tidak terdapat narasi akan transfer uang […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-video-agus-salim-bucar-akan-transfer-uang-bagi-pemilik-rekening-bank-bri-bni-mandiri-bca-dan-bank-lainnya/
Undian Berhadiah Mengatasnamakan Raffi Ahmad				,"Periksa Fakta Vania. Faktanya, tidak terdapat informasi resmi dari media sosial Raffi Ahmad terkait undian tersebut. Tautan WA juga tidak terbukti keaslian dan kredibilitasnya. =====     KATEGORI: Konten […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-undian-berhadiah-mengatasnamakan-raffi-ahmad/
Undian Berhadiah dari SeaBank				,Hasil periksa fakta Raymondha Elsha Narasi mengenai undian berhadiah SeaBank adalah tidak benar. Tautan dalam unggahan tersebut tidak mengarah ke situs resmi SeaBank. =========== [KATEGORI]: […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-undian-berhadiah-dari-seabank/
TVOne Tayangkan tentang Obat Tekanan Darah Tinggi dari Cina				,Hasil periksa fakta Raymondha Video yang menyiarkan dan mempromosikan obat tekanan darah tinggi oleh TVOne adalah tidak benar. Video tersebut merupakan hasil rekayasa teknik AI-generated […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-tvone-tayangkan-tentang-obat-tekanan-darah-tinggi-dari-cina/
Surat Undangan Pelatihan KemenkopUKM 2024				,"Hasil periksa fakta Rahmah. Segala pelatihan melalui Dinas Koperasi UKM Prov. Jateng sepenuhnya GRATIS. SUMBER FLYER [KATEGORI]: Konten Palsu [NARASI]“ Nomor: B801/UND.1/TK.09/2024 Jakarta, 10 September […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-surat-undangan-pelatihan-kemenkopukm-2024/
Surat Undangan Bimtek Mengatasnamakan BPK				,Hasil periksa fakta Rahmah. BPK melalui laman resminya menyatakan surat yang beredar merupakan upaya penipuan dan perlu meningkatkan kewaspadaan apabila menerima undangan tersebut. KATEGORI: IMPOSTOR […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-surat-undangan-bimtek-mengatasnamakan-bpk/
Surat Edaran Penetapan Calon Mitra Kerja Distanbun Prov Jateng				,"Hasil periksa fakta Rahmah. Distanbun Prov Jateng memberikan klarifikasi surat edaran terebut tidak benar dan meminta para pejabat, ASN dan masyarakat untuk meningkatkan kewaspadaan dengan […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-surat-edaran-penetapan-calon-mitra-kerja-distanbun-prov-jateng/
SMS Konfirmasi Tilang Korlantas				,Hasil periksa fakta Agnes A Notifikasi surat tilang hanya dikirimkan berupa surat pemberitahuan melalui PT Pos. Segala notifikasi surat tilang yang bukan berasal dari surat […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-sms-konfirmasi-tilang-korlantas/
Rekrutmen PT Pertamina Persero September 2024				,"Hasil periksa fakta Panji Segala informasi lowongan kerja di Pertamina yang diakses selain dari website resmi Pertamina dapat diindikasi sebagai penipuan, tidak benar jika pendaftaran […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-rekrutmen-pt-pertamina-persero-september-2024/
PT Honda Motor Indonesia Berbagi 50 Motor Gratis di Tiktok				,"Hasil periksa fakta Panji Tidak benar bahwa Honda Indonesia membuka giveaway 50 motor secara gratis bagi yang bisa memenangkan games tangkap gambar, akun yang mengatasnamakan […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-pt-honda-motor-indonesia-berbagi-50-motor-gratis-di-tiktok/
Pesan WA Kepala Desa Sambung Astuti Minta Pulsa				,Hasil periksa fakta Rahmah. Menurut Liputan Undaan dipastikan Kepala Desa Sambung Astuti meminta pulsa adalah upaya penipuan yang mengatasnamakan namanya. [KATEGORI]: Konten Tiruan [NARASI]“assalamualaikumwonten pulsa […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-pesan-wa-kepala-desa-sambung-astuti-minta-pulsa/
Pengambilan Kupon Hadiah Gebyar BRI				,"Hasil periksa fakta Panji Link website yang tertera pada postingan gebyar undian tersebut tidak mengarahkan ke website resmi BRi di https://bri.co.id/, selain itu di media […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-pengambilan-kupon-hadiah-gebyar-bri/
Pengajuan Pinjaman Online Bank Mandiri Melalui Nomor Whatsapp di Bio Tiktok				,Hasil periksa fakta Panji Tidak benar adanya sebuah akun Tiktok yang mengatasnamakan Bank Mandiri. Akun tersebut dapat diwaspadai sebagai media untuk melakukan penipuan online. =========== […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-pengajuan-pinjaman-online-bank-mandiri-melalui-nomor-whatsapp-di-bio-tiktok/
PENDIRI ALFAMART BAGIKAN HADIAH UANG RP15 JUTA MELALUI TIKTOK				,Informasi tersebut palsu. Hal ini telah diklarifikasi oleh pihak terkait melalui akun Instagram Alfamart. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN === SUMBER: TIKTOKhttps://www.tiktok.com/@djoko.susanto01/video/7415701564079312134 Arsip https://ghostarchive.org/archive/KGdNy === […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-pendiri-alfamart-bagikan-hadiah-uang-rp15-juta-melalui-tiktok/
Nomor WhatsApp Mengatasnamakan Pj Wali Kota Bandung 0822 4131 3339				,Hasil periksa fakta Rahmah. Halo Bandung menjelaskan nomor WhatsApp beserta isi pesannya bukan dari Pj Wali Kota Bandung A Koswara. Kategori:Impostor Content Sumber:WhatsApp Narasi:PJ WALI […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-nomor-whatsapp-mengatasnamakan-pj-wali-kota-bandung-0822-4131-3339/
Nomor WhatsApp 0823 3808 7787 Mengaku Sebagai Aditya Mufti Ariffin				,Hasil periksa fakta Rahmah. Aditya Mufti Ariffin mengklarifikasi langsung melalui akun Facebook resminya bahwa nomor yang beredar bukan dirinya. KATEGORI: IMPOSTOR CONTENT SUMBER: WHATSAPP NARASI:“Aditya […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-nomor-whatsapp-0823-3808-7787-mengaku-sebagai-aditya-mufti-ariffin/
Nomor WhatsApp 0822 2340 8779 Lurah Ledok Hery Setianto Wibowo				,Hasil periksa fakta Rahmah. Kelurahan Ledok Salatiga menyatakan nomor tersebut bukan akun WhatsApp resmi Hery Setianto Wibowo dan meminta warga untuk mengabaikannya. [KATEGORI]: Konten Tiruan […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-nomor-whatsapp-0822-2340-8779-lurah-ledok-hery-setianto-wibowo/
LOWONGAN KERJA PT PERTAMINA SEPTEMBER 2024				,"Informasi lowongan tersebut palsu, dan telah diklarifikasi oleh pihak PT Pertamina. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN === SUMBER: FACEBOOKhttps://web.facebook.com/61564989780172/posts/122111266328499659/?mibextid=oFDknk&rdid=vy1YinxkDflYG2FW&_rdc=1&_rdr Arsip https://ghostarchive.org/archive/tEolv === NARASI:PT Pertamina ( […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-lowongan-kerja-pt-pertamina-september-2024/
Lowongan Kerja PT Brantas Abipraya (Persero)				,"Periksa Fakta Sukma Faktanya, akun tersebut bukanlah akun resmi milik PT Brantas Abipraya.  Sehingga, informasi lowongan pekerjaan tersebut tidaklah benar. =====[KATEGORI]: Konten Tiruan =====[SUMBER]: Facebook […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-lowongan-kerja-pt-brantas-abipraya-persero/
LOWONGAN KERJA BANK BRI SEPTEMBER 2024				,"Informasi tersebut tidak benar. BRI menyatakan bahwa segala bentuk informasi termasuk lowongan kerja, hanya dilakukan melalui situs resmi yakni https://e-recruitment.bri.co.id dan/atau e-mail dengan domain resmi […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-lowongan-kerja-bank-bri-september-2024/
Loker BUMN PT Pertamina – Persero 2024				,"Periksa Fakta Sukma Faktanya, akun tersebut bukanlah akun resmi milik PT Pertamina – Persero.  Sehingga, informasi lowongan pekerjaan tersebut tidaklah benar. =====[KATEGORI]: Konten Tiruan =====[SUMBER]: […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-loker-bumn-pt-pertamina-persero-2024/
KEMENKES BERI DANA BANTUAN PEKERJA MIGRAN SENILAI RP175 JUTA				,"Kemenkes telah menyatakan jika informasi tersebut palsu. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN === SUMBER: FACEBOOKhttps://www.facebook.com/permalink.php?story_fbid=pfbid02hvZcQZ2Pu9bamhAogPcAgjSga22tbx4PAaYVTbjbyDem7Vsa5xbDSjQL8Gx5b8hyl&id=61565466058880 Arsip https://ghostarchive.org/archive/HGquJ === NARASI:Assalamu Alaikum Wr Wb, Sehubungan Dangan Adanya […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-kemenkes-beri-dana-bantuan-pekerja-migran-senilai-rp175-juta/
Hotman Paris Bagikan Hadiah 100 Juta atau 1 Unit Mobil dengan Syarat Tebak Kata				,Hasil periksa fakta Moch. Marcellodiansyah Faktanya dalam video asli Hotman Paris bersama Louisse Scarlett mereka membicarakan kolaborasi antar brand skincare milik mereka berdua. = = […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-hotman-paris-bagikan-hadiah-100-juta-atau-1-unit-mobil-dengan-syarat-tebak-kata/
Hadiah Menarik Promo Daftar Gebyar Undian Bank BPD Bali				,"Hasil periksa fakta Moch. Marcellodiansyah Penelusuran kanal komunikasi Bank BPD Bali, tidak ditemukan informasi yang membenarkan klaim dalam postingan yang beredar di Facebook tersebut. Postingan […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-hadiah-menarik-promo-daftar-gebyar-undian-bank-bpd-bali/
Hadiah 100 Juta dari Soimah Melalui Games Tangkap Gambar				,"Hasil periksa fakta Panji Tidak benar bahwa unggahan tersebut berasal dari akun Facebook resmi milik Soimah, di akun Instagramnya ia juga pernah mengunggah sebuah peringatan […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-hadiah-100-juta-dari-soimah-melalui-games-tangkap-gambar/
GIVEAWAY RP75 JUTA OLEH OJK				,Informasi tersebut tidak benar. Pihak OJK telah melakukan klarifikasi melalui akun Instagram OJK. KATEGORI: IMPOSTER CONTENT/ KONTEN TIRUAN === SUMBER: WHATSAPP === NARASI:Okey bosque dikarenakan […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-giveaway-rp75-juta-oleh-ojk/
Gebyar Panen Hadiah Khusus Nasabah Bank BRI				,Hasil periksa fakta Moch. Marcellodiansyah Faktanya Bank BRI tidak pernah secara resmi mengeluarkan informasi seperti klaim tersebut. Link yang disematkan juga terhubung dengan laman peringatan […],"September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-gebyar-panen-hadiah-khusus-nasabah-bank-bri/
EVENT KUIS BERHADIAH UANG DARI GUCCI INDONESIA				,"Hasil Periksa Fakta Gabriela Nauli Faktanya, Gucci tidak ada mengeluarkan informasi mengenai event kuis yang berhadiah sejumlah uang. Informasi mengenai Gucci hanya dapat diakses melalui […]","September 30, 2024",https://turnbackhoax.id/2024/09/30/penipuan-event-kuis-berhadiah-uang-dari-gucci-indonesia/
